"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Nov 20 20:43:29 IST 2025","Thu Nov 20 20:43:29 IST 2025","0","Interrupt-WiFi-Test","WiFi Interruption Test","tests.WikipediaSearchTest","tests.WikipediaSearchTest","tearDown","tearDown",""
"passed","Wed Nov 19 16:58:29 IST 2025","Wed Nov 19 16:58:53 IST 2025","23704","Wikipedia-NegativeTests","Negative Search Test","negativetests.NegativeSearchTest","negativetests.NegativeSearchTest","searchVeryLongText","searchVeryLongText",""
"broken","Thu Nov 20 19:54:07 IST 2025","Thu Nov 20 19:54:07 IST 2025","1","Interrupt-WiFi-Test","WiFi Interruption Test","negativetests.InterruptTest","negativetests.InterruptTest","languageSelection","languageSelection",""
"passed","Thu Nov 20 21:53:56 IST 2025","Thu Nov 20 21:54:26 IST 2025","29915","Interrupt-WiFi-Test","WiFi Interruption Test","negativetests.InterruptTest","negativetests.InterruptTest","InternetInterruption","InternetInterruption",""
"passed","Thu Nov 20 19:53:57 IST 2025","Thu Nov 20 19:54:07 IST 2025","10021","Interrupt-WiFi-Test","WiFi Interruption Test","negativetests.InterruptTest","negativetests.InterruptTest","turnOffInternetInterruption","turnOffInternetInterruption",""
"passed","Wed Nov 19 16:57:09 IST 2025","Wed Nov 19 16:57:37 IST 2025","28155","Wikipedia-NegativeTests","Negative Search Test","negativetests.NegativeSearchTest","negativetests.NegativeSearchTest","searchSpecialCharacters","searchSpecialCharacters",""
"broken","Thu Nov 20 20:43:28 IST 2025","Thu Nov 20 20:43:28 IST 2025","4","Interrupt-WiFi-Test","WiFi Interruption Test","tests.WikipediaSearchTest","tests.WikipediaSearchTest","setUp","setUp",""
"passed","Wed Nov 19 16:55:56 IST 2025","Wed Nov 19 16:56:18 IST 2025","21382","Wikipedia-NegativeTests","Negative Search Test","negativetests.NegativeSearchTest","negativetests.NegativeSearchTest","searchInvalidText","searchInvalidText",""
"passed","Wed Nov 19 17:06:37 IST 2025","Wed Nov 19 17:08:35 IST 2025","117942","Regression Wikipedia Automation Suite"," Regression Wikipedia Tests","tests.ArticleTest","tests.ArticleTest","verifyArticleNavigationAndReaderSettings","verifyArticleNavigationAndReaderSettings",""
"passed","Thu Nov 20 19:53:49 IST 2025","Thu Nov 20 19:53:57 IST 2025","8037","Interrupt-WiFi-Test","WiFi Interruption Test","negativetests.InterruptTest","negativetests.InterruptTest","turnOnInternetInterruption","turnOnInternetInterruption",""
"passed","Wed Nov 19 17:00:31 IST 2025","Wed Nov 19 17:00:53 IST 2025","22167","Wikipedia-NegativeTests","Negative Search Test","negativetests.NegativeSearchTest","negativetests.NegativeSearchTest","searchSpacesOnly","searchSpacesOnly",""
"passed","Wed Nov 19 16:59:41 IST 2025","Wed Nov 19 17:00:01 IST 2025","19967","Wikipedia-NegativeTests","Negative Search Test","negativetests.NegativeSearchTest","negativetests.NegativeSearchTest","searchEmptyInput","searchEmptyInput",""
"passed","Thu Nov 20 21:53:23 IST 2025","Thu Nov 20 21:53:56 IST 2025","33210","Interrupt-WiFi-Test","WiFi Interruption Test","tests.WikipediaSearchTest","tests.WikipediaSearchTest","search","search",""
